geneSymbol logFC P.Value adj.P.Val
Aspm 1.78336916543525 1.04712999999821e-09 4.97697164030769e-08
Hsd3b5 -5.114578572199 1.05536573979154e-09 4.99188129539719e-08
E2f8 1.43431453942076 1.06128651243898e-09 4.99188129539719e-08
Cdk5rap2 1.06556927294419 1.06339897691264e-09 4.99188129539719e-08
Txnrd1 1.19966993320426 1.06687192758177e-09 4.99188129539719e-08
Kifc5b 1.92768655576795 1.07329362751366e-09 4.99303264625154e-08
Maged2 1.0746835078178 1.07542241611572e-09 4.99303264625154e-08
Xpo1 1.34936693601939 1.09896387904573e-09 5.07277008817882e-08
Gpx7 2.18029483725681 1.10103367402467e-09 5.07277008817882e-08
Aen 1.05436126453639 1.10591308973849e-09 5.0758033985135e-08
Smg5 0.937373818936853 1.15163636730431e-09 5.26556171742752e-08
Fignl1 1.77144222418518 1.17079343060093e-09 5.33287537991523e-08
Tuba1b 2.62189267723659 1.1801018678132e-09 5.35499055111463e-08
Prrc2a 1.02074453731498 1.20893894399389e-09 5.46522210583702e-08
Pif1 2.1039055691459 1.22596694156643e-09 5.52144287353419e-08
Pgm3 1.60138583088758 1.2349200988858e-09 5.54101275712751e-08
Traip 1.58857399859745 1.25218104834973e-09 5.59757513249275e-08
Ttf2 1.02038508659697 1.26033145092743e-09 5.61314285088976e-08
Polh 1.62058969046978 1.27049045048965e-09 5.6317214067791e-08
AI428936 0.997033217710244 1.2738696238203e-09 5.6317214067791e-08
Ubap2 1.17336583563715 1.28406373432038e-09 5.64336538867375e-08
Treh 1.29610747569435 1.28588949396807e-09 5.64336538867375e-08
Ptpn1 1.06977746781088 1.31731591119215e-09 5.76026321166749e-08
Prkrir 0.829438401006174 1.33457203652373e-09 5.81457563014417e-08
Rexo4 0.732301333540973 1.3428388767545e-09 5.82947201912377e-08
Myh9 1.3874812216271 1.34974606156603e-09 5.83837999652211e-08
Slc22a28 -1.80072938564128 1.373879124703e-09 5.9214682704493e-08
Cltc 0.927361629187383 1.39729581196324e-09 6.00088647816357e-08
Ldha 1.63336926634928 1.40751716424958e-09 6.02327185056982e-08
Chek2 1.61409429193864 1.42470718135369e-09 6.07521413325464e-08
Ctr9 0.854822107173671 1.45178683549818e-09 6.15095357496753e-08
Dhcr24 1.62393177779127 1.45269922269504e-09 6.15095357496753e-08
Ncapg2 1.87289668219435 1.46448766662726e-09 6.17024852802322e-08
Adck3 -2.15416106978593 1.46751856882714e-09 6.17024852802322e-08
Nubp1 0.91932150111939 1.50389320387559e-09 6.30115532285853e-08
Mcm8 1.33642351330418 1.52250199078155e-09 6.34104891018527e-08
Raph1 2.12368918369739 1.52396102706324e-09 6.34104891018527e-08
G2e3 1.82552367929764 1.53939658511838e-09 6.38318756415467e-08
Fancd2 0.942131229777478 1.58914053936971e-09 6.56680927351229e-08
Brca1 1.22181255165604 1.60714110618396e-09 6.61844924721307e-08
Nat8b -1.54256864373386 1.65198459571522e-09 6.77990264965036e-08
Serpina12 -2.5391650323454 1.68221665648491e-09 6.88049499803776e-08
Fanci 1.31792921422485 1.72048408371998e-09 7.00667843327758e-08
Rcor1 0.916309192842952 1.72472084511448e-09 7.00667843327758e-08
Brd9 1.20231234168498 1.74158974338959e-09 7.05138608224235e-08
Sept7 0.82505561264498 1.75562610017201e-09 7.08436370958671e-08
Twsg1 0.843516031581737 1.77027545269672e-09 7.11958605975855e-08
Lin54 1.26826533648446 1.81863998926067e-09 7.2897152902865e-08
Tnfrsf1a 1.55237144141958 1.83841900285678e-09 7.30626069116307e-08
Cbx5 1.02013856785531 1.83906701124303e-09 7.30626069116307e-08
Mcm5 2.73447941523072 1.84415067371833e-09 7.30626069116307e-08
Mlkl 1.20204190070832 1.84707130986576e-09 7.30626069116307e-08
Usp1 1.20585853589352 1.87153537354973e-09 7.36944694919587e-08
Fbxo5 1.43242056920038 1.87530209268519e-09 7.36944694919587e-08
Tuba8 1.6994888252685 1.91889557649859e-09 7.51063710834925e-08
Tspan4 1.45516772659985 1.92372243606783e-09 7.51063710834925e-08
Apoa4 3.63417426442895 1.99458468419797e-09 7.76209735517171e-08
Cenpq 1.78778939638571 2.0282613737141e-09 7.86769129642325e-08
Skap2 0.90056416288188 2.05419389769657e-09 7.93095058640248e-08
Tuba1a 2.07943882630032 2.05776015214767e-09 7.93095058640248e-08
Mcm2 1.95711863584495 2.14255055792794e-09 8.21476617979197e-08
Fdx1 -1.12677150403961 2.14506160536772e-09 8.21476617979197e-08
Srpk1 0.774307311689922 2.15284937700487e-09 8.21841706618526e-08
L3mbtl2 1.25596608041128 2.18233203097952e-09 8.30460211155971e-08
Rad51l1 0.959718530251836 2.21316094264395e-09 8.37672885947836e-08
Plekha8 0.844911564384449 2.21521811003253e-09 8.37672885947836e-08
Baz1b 0.973980719153922 2.23037291544123e-09 8.40759696181215e-08
Pck2 1.36373949421253 2.24279670480207e-09 8.42800949226403e-08
Slc13a2 -1.2617576389898 2.30981282315916e-09 8.65280348862584e-08
Gm17383 2.25787178872178 2.33464813055045e-09 8.71867818940035e-08
